model,latency_mae,latency_rmse,latency_mape,violation_accuracy,violation_precision,violation_recall,violation_f1
s_twingnn_lite,1.1948002986949877,1.7010759503998465,11.179292527458621,0.9962859795728877,0.9899497487437185,0.9899497487437185,0.9899497487437185
persistence,1.3043393676643393,1.767317551921431,13.40290204092169,0.9953574744661096,0.9801980198019802,0.9949748743718593,0.9875311720698253
ridge_flat,1.3464636133310763,1.9131480510957797,12.526211034112677,0.24512534818941503,0.1966403162055336,1.0,0.32865400495458297
temporal_mlp,8.45620584780626,13.952319556220564,69.9971323956447,0.9712163416898792,0.9,0.949748743718593,0.9242053789731052
