model,latency_mae,latency_rmse,latency_mape,violation_accuracy,violation_precision,violation_recall,violation_f1
hybrid_dt,0.696302040885919,0.9528997713737758,5.929136519092122,0.9854166666666667,0.9642857142857143,0.972972972972973,0.968609865470852
ridge_flat,0.7629954186961275,1.1261242777077538,6.5351719034161775,0.5479166666666667,0.3384146341463415,1.0,0.5056947608200456
s_twingnn_lite,1.160979464572029,1.546036831287366,8.813409864653208,0.7333333333333333,0.22580645161290322,0.06306306306306306,0.09859154929577464
persistence,2.806149355083293,3.790114713601507,20.063980035772218,0.7125,0.15384615384615385,0.05405405405405406,0.08
temporal_mlp,8.39803831866977,11.201303390961112,66.32622980045156,0.9770833333333333,0.923728813559322,0.9819819819819819,0.9519650655021833
