model,latency_mae,latency_rmse,latency_mape,violation_accuracy,violation_precision,violation_recall,violation_f1,seed
hybrid_dt,0.7951236113011004,1.037160605418444,6.842151093741985,0.9875,0.967032967032967,0.967032967032967,0.967032967032967,7
ridge_flat,0.8726519582709863,1.158140037375513,7.530668955759209,0.5,0.2749244712990936,1.0,0.4312796208530805,7
s_twingnn_lite,1.2085345995912722,1.5788614638302705,9.385279008117434,0.7625,0.1515151515151515,0.0549450549450549,0.0806451612903225,7
persistence,2.9126577338949544,3.863897955283083,21.0915333087682,0.75,0.1081081081081081,0.0439560439560439,0.0625,7
temporal_mlp,8.884672365434122,12.065489780441467,72.76187426025352,0.9875,0.967032967032967,0.967032967032967,0.967032967032967,7
hybrid_dt,0.7752793922641359,1.1316536117882243,6.496530831076002,0.96875,0.911504424778761,0.9537037037037036,0.9321266968325792,11
ridge_flat,0.8993265167959695,1.2977945815258072,7.633303872217982,0.6270833333333333,0.3745583038869258,0.9814814814814816,0.5421994884910487,11
s_twingnn_lite,1.1945849040425007,1.6284991267979905,8.868083942930623,0.7375,0.2631578947368421,0.0925925925925925,0.136986301369863,11
persistence,2.842086777115381,3.8347112089723816,20.019438626436685,0.7104166666666667,0.1702127659574468,0.074074074074074,0.1032258064516129,11
temporal_mlp,9.389486498984867,13.540835028033174,74.26924841787924,0.9479166666666666,0.8672566371681416,0.9074074074074074,0.8868778280542987,11
hybrid_dt,0.696302040885919,0.9528997713737758,5.929136519092122,0.9854166666666668,0.9642857142857144,0.972972972972973,0.968609865470852,17
ridge_flat,0.7629954186961275,1.1261242777077538,6.5351719034161775,0.5479166666666667,0.3384146341463415,1.0,0.5056947608200456,17
s_twingnn_lite,1.160979464572029,1.546036831287366,8.813409864653208,0.7333333333333333,0.2258064516129032,0.063063063063063,0.0985915492957746,17
persistence,2.806149355083293,3.790114713601507,20.063980035772214,0.7125,0.1538461538461538,0.054054054054054,0.08,17
temporal_mlp,8.39803831866977,11.201303390961112,66.32622980045156,0.9770833333333332,0.923728813559322,0.981981981981982,0.9519650655021832,17
hybrid_dt,0.7841405546379671,1.0327885971727202,6.519299351752367,0.98125,0.9714285714285714,0.9444444444444444,0.9577464788732396,23
ridge_flat,0.8702354390654925,1.1723355212420137,7.3858433585931165,0.5625,0.3396226415094339,1.0,0.5070422535211268,23
s_twingnn_lite,1.1816564879902296,1.55236672825234,8.942040199250094,0.7416666666666667,0.3095238095238095,0.1203703703703703,0.1733333333333333,23
persistence,2.853787167151408,3.792571469651495,20.36944127061095,0.7229166666666667,0.2549019607843137,0.1203703703703703,0.1635220125786163,23
temporal_mlp,9.386013946633494,13.486570803815166,73.2036421623472,0.96875,0.9514563106796116,0.9074074074074074,0.9289099526066352,23
hybrid_dt,0.7979425016080266,1.090974280404341,6.478614647321755,0.9645833333333332,0.9067796610169492,0.9469026548672568,0.9264069264069263,29
ridge_flat,0.8865136094024014,1.2143999537134222,7.20352972910252,0.5395833333333333,0.3383233532934132,1.0,0.5055928411633109,29
s_twingnn_lite,1.2086984648308128,1.6738013810457677,9.040347054387569,0.7208333333333333,0.2666666666666666,0.1061946902654867,0.1518987341772152,29
persistence,2.9057911372905116,3.8798880071121937,20.45651557812387,0.6979166666666666,0.18,0.079646017699115,0.1104294478527607,29
temporal_mlp,10.211282003528416,14.001982576925425,80.92852102829553,0.95625,0.8833333333333333,0.9380530973451328,0.9098712446351932,29
